keywords,body_part,department,doctor_time,advice,warning
"髖關節痛,鼠蹊部痛,大腿根部痛,走路痛,髖關節疾病",髖關節,關節重建科,林醫師(早/下)、鍾醫師(晚),建議掛關節重建科評估退化程度,若無法站立或負重行走，請盡快就醫
"玻尿酸注射,PRP注射,關節內注射,退化性關節炎保守治療",膝關節,關節重建科,林醫師(早/下)、鍾醫師(晚),建議掛關節重建科門診評估是否適合玻尿酸或PRP注射治療,注射後若出現紅腫熱痛加劇或發燒，請盡快就醫
"手肘痛,手腕痛,媽媽手,腕隧道症候群,手指麻,板機指,手指卡住,腕隧道",肘腕,手外科,張醫師(早),建議掛手外科評估，可先減少重複性動作,若手指持續麻木無力或膚色改變，請盡快就醫
"手部肌腱損傷,手部軟組織損傷,手部畸形,手部攣縮,肘關節疾病,顯微手術,軟組織重建",肘腕,手外科,張醫師(早),建議掛手外科評估手部功能與外觀矯正選項,若合併傷口感染或肢體壞死徵象，請盡快就醫
"腕關節鏡手術,手腕韌帶損傷,三角纖維軟骨複合體損傷",肘腕,手外科,張醫師(早),建議掛手外科評估是否需腕關節鏡手術,若手腕明顯變形或劇烈疼痛，請盡快就醫
"腳踝扭傷,腳跟痛,足底筋膜炎,腳踝腫,踝韌帶斷裂,踝關節疾病",足踝,足踝外科,王醫師(下/晚),建議掛足踝外科，急性期先冰敷並抬高患肢,若完全無法承重行走或關節明顯變形，請盡快就醫
"阿基里斯腱損傷,阿基里斯腱斷裂,阿基里斯腱微創修補,跟腱疼痛",足踝,足踝外科,王醫師(下/晚),建議掛足踝外科評估，必要時安排微創修補手術,若無法踮腳尖或跟腱明顯凹陷，請盡快就醫
"拇趾外翻,足部畸形,足踝關節鏡手術,人工踝關節置換",足踝,足踝外科,王醫師(下/晚),建議掛足踝外科評估矯正或手術選項,若合併嚴重疼痛影響行走，請盡快就醫
"跌倒,車禍,骨折,外傷,撞擊,骨頭外露,上肢骨折,下肢骨折,手腕骨折,手部骨折,肘部骨折",外傷,骨折創傷科,陳醫師(早)、徐醫師(晚),建議立即掛骨折創傷科或前往急診進行X光檢查,若有傷口大量出血、骨頭外露或肢體發黑冰冷，請立即撥打119
"髖部骨折,股骨骨折,膝部骨折,骨盆骨折,髖臼骨折,足踝骨折",外傷,骨折創傷科,陳醫師(早)、徐醫師(晚),建議立即掛骨折創傷科評估，安排影像檢查與手術規劃,若無法站立或劇烈疼痛，請立即就醫
"開放性骨折,複雜性骨折,肌腱斷裂,外傷修補,肢體變形矯正",外傷,骨折創傷科,陳醫師(早)、徐醫師(晚),建議立即掛骨折創傷科或前往急診，可能需微創固定或重建手術,若傷口大量出血、骨頭外露或肢體發黑冰冷，請立即撥打119
"骨質疏鬆,容易骨折,停經後骨鬆,駝背,骨密度不足,骨代謝疾病",全身骨骼,骨質疏鬆症門診,吳醫師(早/下),建議掛骨質疏鬆症門診安排骨密度檢測(DXA),若因輕微跌倒即造成骨折(脆弱性骨折)，請盡快就醫評估
"兒童骨折,小孩骨折,兒童運動傷害,兒童跌倒,小朋友手腳受傷",兒童,兒童骨科,周醫師(早/下),建議掛兒童骨科評估，兒童骨骼癒合快但需注意生長板損傷,若肢體明顯變形、劇烈疼痛或無法活動，請盡快就醫
"兒童髖關節疾病,兒童髖關節脫臼,發育性髖關節發育不良",兒童,兒童骨科,周醫師(早/下),建議掛兒童骨科評估髖關節發育狀況,若走路明顯跛行或雙腿不對稱，請盡快就醫
"O型腿,X型腿,扁平足,斜頸症,生長痛,肢體不對稱",兒童,兒童骨科,周醫師(早/下),建議掛兒童骨科評估是否為正常生長階段或需矯正治療,若合併明顯疼痛、單側惡化或發育遲緩，請盡快就醫
"先天性骨骼問題,發育性骨骼問題,肢體延長手術,肢體畸形矯正手術",兒童,兒童骨科,周醫師(早/下),建議掛兒童骨科評估治療與手術時機,若肢體長短差異持續擴大，請盡快就醫
"骨骼肌肉腫瘤,骨腫瘤,軟組織腫瘤,骨頭長腫塊,肢體腫塊,骨癌疑慮",腫瘤,骨骼腫瘤科,楊醫師(下/晚),建議掛骨骼腫瘤科安排影像檢查與切片評估,若腫塊快速增大、劇烈疼痛或合併體重下降，請盡快就醫
"骨髓炎,骨頭發炎,慢性骨感染,關節炎,骨骼疾病",腫瘤,骨骼腫瘤科,楊醫師(下/晚),建議掛骨骼腫瘤科或骨折創傷科評估感染程度，必要時安排手術清創,若合併高燒、劇烈紅腫熱痛，請盡快就醫
"慢性骨髓炎高壓氧,骨髓炎輔助治療,高壓氧治療",高壓氧,高壓氧治療中心,洪醫師(早/晚),建議掛高壓氧治療中心評估是否適合輔助治療慢性骨髓炎,若傷口持續惡化或發燒，請盡快就醫
"一氧化碳中毒,放射性骨壞死,複雜傷口,組織缺氧,高壓氧治療",高壓氧,高壓氧治療中心,洪醫師(早/晚),建議掛高壓氧治療中心評估治療療程,若意識不清、呼吸困難，請立即撥打119或前往急診
